Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Midwestern University Optical,"19555 N 59th Ave, Glendale, AZ 85308",Glendale,AZ,85308,No,Yes,Yes,2026-07-31T13:50:30+00:00,2026-07-31T13:50:30+00:00,+16234555539,http://midwestern.edu,Daniel Deligio; Kevin Helmuth; Taylor Bosch; Sarah Huff; Jasandeep Uppal; Rimpi Narwhal; Michael Bogaard; Rachel Stephan; Christopher Lowe; Elizabeth Escobedo; Pierce Kenworthy; Alicia Feis; Aron Piranio; Cori Jones; Ashley Olson; Grace Liao; Sylvia Panora; Michael Kozlowski; Renee Doss; Patricia Bogaard; Eric Woo; Krupa Patel; Sarah Thomas; Megan Baker,8c686c4f-f8f8-443e-ac5c-0a2ff1774650
Summit Health Management,"95 Madison Ave Floor 2, Morristown, NJ 07960",Morristown,NJ,07960,Yes,No,Yes,2026-07-31T13:50:30+00:00,2026-07-31T13:50:30+00:00,+19735524784,https://www.summitmedicalgroup.com/locations/morristown-95-madison-avenue,Ava Huchun,a9e75807-d36b-4e3c-9c04-f38176c4a40d
