Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
First Sight Vision Care,"8115 Maple Lawn Boulevard, Fulton, MD 20759",Fulton,MD,20759,No,Yes,Yes,2026-08-05T13:52:29+00:00,2026-08-05T13:52:29+00:00,+15722340167,https://www.firstsightvisioncare.com/,,a69316be-1995-446f-93d2-18f8b8c434d0
Sight MD Babylon,"500 West Main Street / Suite 210, Babylon, NY 11702",Babylon,NY,11702,No,Yes,Yes,2026-08-05T13:52:29+00:00,2026-08-05T13:52:29+00:00,+16318372629,https://www.sightmd.com/locations/babylon/?utm_source=gmb&utm_medium=local_listings,Eric Rosenberg; Michael Lamonica; Alanna Natis,130b33fc-ef36-4e67-b1a9-66ece8910156
