Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Meadows Eye Physicians and Surgeons,"1090 East Desert Inn Road, Las Vegas, NV 89109",Las Vegas,NV,89109,No,Yes,Yes,2026-08-21T12:33:35+00:00,2026-08-21T12:33:35+00:00,+12707139469,https://meadowseye.com,Jonathan Peterson MD,e16b1640-2e00-43de-ada5-5399df17fd85
Vision Eye Group / Warner Robins,"151 South Houston Lake Road  Suite 190, Warner Robins, GA 31088",Warner Robins,GA,31088,No,Yes,Yes,2026-08-21T12:33:35+00:00,2026-08-21T12:33:35+00:00,,visioneyegroup.com,"Mike Simmons, Jr",e41932b6-a92d-470a-9235-658bedeb2995
