Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
20/20 Eyecare,"9553 Fields Ertel Road, Loveland, OH 45140",Loveland,OH,45140,No,Yes,Yes,2026-08-08T12:34:16+00:00,2026-08-08T12:34:16+00:00,+15138486699,2020eyecareoh.com,Alex Gibberman; David Williams,f6ea1400-871b-480c-a63e-cf20614ab4ac
Vistar Eye Center - Botetourt,"70 Summerfield Court, Roanoke, VA 24019",Roanoke,VA,24019,No,Yes,Yes,2026-08-08T12:34:16+00:00,2026-08-08T12:34:16+00:00,+15405834233,https://www.vistareye.com/locations/botetourt/,Mac Scothorn OD,b1242083-ce47-4613-ab04-0849b3a0ae40
